"COLLEGE_SSP_CODE","COLLEGE_NAME","COLLEGE_TYPE_SSP_CODE","SEAT_TYPE_NAME","SEAT_TYPE_SSP_CODE","DISTRICT_SSP_CODE","College_District_Name","State_Name","TALUK_SSP_CODE","College_Taluk_Name","University_AISHE_Code"," University_Code","University_Name","College_type"
"11337","ABBS SCHOOL OF LAW, BENGALURU(Id: C-60541)","3","Government Seat in Private College","3","525","BENGALURU URBAN","Karnataka","5542","Bengaluru North","U-0227","1040","Karnataka State Law University, Hubli(Id: U-0227)","Private Un-Aided"
"11338","ACHARYA SCHOOL OF LAW, BENGALURU(Id: C-59662)","3","Government Seat in Private College","15","526","Bengaluru Rural","Karnataka","5603","Devanahalli","U-0227","1040","Karnataka State Law University, Hubli(Id: U-0227)","Private Un-Aided"
"11339","Al-Ameen College of Law, Bangalore(Id: C-9786)","3","Government Seat in Private College","15","525","BENGALURU URBAN","Karnataka","5543","Bengaluru South","U-0227","1040","Karnataka State Law University, Hubli(Id: U-0227)","Private Un-Aided"
"11340","Anjuman Law College, Bijapur(Id: C-9822)","2","Government Seat in Private College","15","530","Vijayapura","Karnataka","5449","Vijayapura","U-0227","1040","Karnataka State Law University, Hubli(Id: U-0227)","Private Aided"
"11341","ARUNDHATI LAW COLLEGE SURAPUR (Id: C-58428)","3","Government Seat in Private College","15","635","YADGIR","Karnataka","5587","Shorapur","U-0227","1040","Karnataka State Law University, Hubli(Id: U-0227)","Private Un-Aided"
"11342","Arunodaya Institute of Legal Studies, Bangalore(Id: C-9779)","3","Government Seat in Private College","15","525","BENGALURU URBAN","Karnataka","5543","Bengaluru South","U-0227","1040","Karnataka State Law University, Hubli(Id: U-0227)","Private Un-Aided"
"11343","Bangalore Institute of Legal Studies, Bangalore(Id: C-9832)","3","Government Seat in Private College","15","525","BENGALURU URBAN","Karnataka","5543","Bengaluru South","U-0227","1040","Karnataka State Law University, Hubli(Id: U-0227)","Private Un-Aided"
"11344","Basavashree College of Law, Kolar(Id: C-9783)","3","Government Seat in Private College","15","542","Kolar","Karnataka","5591","Kolar","U-0227","1040","Karnataka State Law University, Hubli(Id: U-0227)","Private Un-Aided"
"11345","Bengaluru Law College, Bengaluru(Id: C-56691)","3","Government Seat in Private College","15","525","BENGALURU URBAN","Karnataka","5542","Bengaluru North","U-0227","1040","Karnataka State Law University, Hubli(Id: U-0227)","Private Un-Aided"
"11346","B.E.S. College of Law, Bangalore(Id: C-9816)","3","Government Seat in Private College","15","525","BENGALURU URBAN","Karnataka","5543","Bengaluru South","U-0227","1040","Karnataka State Law University, Hubli(Id: U-0227)","Private Un-Aided"
"11347","BHUVAN LAW COLLEGE, BENGALURU(Id: C-56780)","3","Government Seat in Private College","15","525","BENGALURU URBAN","Karnataka","7103","YALAHANKA","U-0227","1040","Karnataka State Law University, Hubli(Id: U-0227)","Private Un-Aided"
"11348","Bishop Cotton Women Christian Law College, Bangalore(Id: C-9790)","3","Government Seat in Private College","15","525","BENGALURU URBAN","Karnataka","5542","Bengaluru North","U-0227","1040","Karnataka State Law University, Hubli(Id: U-0227)","Private Un-Aided"
"11349","B.L.D.E. Association Law College, Jamkhandi.(Id: C-9802)","3","Government Seat in Private College","15","524","BAGALKOTE","Karnataka","5443","Jamkhandi","U-0227","1040","Karnataka State Law University, Hubli(Id: U-0227)","Private Un-Aided"
"11350","B.M.S. College of Law, Bangalore(Id: C-9849)","3","Government Seat in Private College","15","525","BENGALURU URBAN","Karnataka","5543","Bengaluru South","U-0227","1040","Karnataka State Law University, Hubli(Id: U-0227)","Private Un-Aided"
"11351","B.V. Bellad Law College, Belgaum.(Id: C-9847)","2","Government Seat in Private College","15","527","Belagavi","Karnataka","5438","BELAGAVI","U-0227","1040","Karnataka State Law University, Hubli(Id: U-0227)","Private Aided"
"11352","C.B.R. Law College, Shimoga(Id: C-9801)","2","Government Seat in Private College","15","547","Shivamogga","Karnataka","5520","Shivamogga","U-0227","1040","Karnataka State Law University, Hubli(Id: U-0227)","Private Aided"
"11353","Christ Academy Institute of Law, Bengaluru(Id: C-58760)","3","Government Seat in Private College","15","525","BENGALURU URBAN","Karnataka","5545","Anekal","U-0227","1040","Karnataka State Law University, Hubli(Id: U-0227)","Private Un-Aided"
"11354","CMR Law School, Bangalore(Id: C-9823)","3","Government Seat in Private College","15","525","BENGALURU URBAN","Karnataka","5542","Bengaluru North","U-0227","1040","Karnataka State Law University, Hubli(Id: U-0227)","Private Un-Aided"
"11355","D.B.H. P.S. Law College, Koppal(Id: C-9858)","3","Government Seat in Private College","15","543","Koppal","Karnataka","5467","Koppal","U-0227","1040","Karnataka State Law University, Hubli(Id: U-0227)","Private Un-Aided"
"24566","SRI APSANI N R LAW COLLEGE, GANGAVATHI(C-66541)","3","Government Seat in Private College","15","543","Koppal","Karnataka","5466","Gangawati","U-0227","1040","Karnataka State Law University, Hubli(Id: U-0227)","Private Un-Aided"
