College_AISHE_Code,College_Address,College_Affiliation_Type_Description,COLLEGE_SSP_CODE,COLLEGE_NAME,COLLEGE_TYPE_SSP_CODE,SEAT_TYPE_NAME,SEAT_TYPE_SSP_CODE,DISTRICT_SSP_CODE,College_District_Name,Evening_College,State_Name,TALUK_SSP_CODE,College_Taluk_Name,University_AISHE_Code,University_Code,University_Name,University_Type,College_type
C-60541,NULL,Affiliated College,11337,"ABBS SCHOOL OF LAW, BENGALURU(Id: C-60541)",3,Private Seat in Private College,3,525,BENGALURU URBAN,NULL,Karnataka,5542,Bengaluru North,U-0227,1040,"Karnataka State Law University, Hubli(Id: U-0227)",State Public University,Private Un-Aide
C-59662,NULL,Affiliated College,11338,"ACHARYA SCHOOL OF LAW, BENGALURU(Id: C-59662)",3,Private Seat in Private College,3,526,Bengaluru Rural,NULL,Karnataka,5603,Devanahalli,U-0227,1040,"Karnataka State Law University, Hubli(Id: U-0227)",State Public University,Private Un-Aide
C-9786,NULL,Affiliated College,11339,"Al-Ameen College of Law, Bangalore(Id: C-9786)",3,Private Seat in Private College,3,525,BENGALURU URBAN,NULL,Karnataka,5543,Bengaluru South,U-0227,1040,"Karnataka State Law University, Hubli(Id: U-0227)",State Public University,Private Un-Aide
C-9822,NULL,Affiliated College,11340,"Anjuman Law College, Bijapur(Id: C-9822)",2,Private Seat in Aided College,17,530,Vijayapura,NULL,Karnataka,5449,Vijayapura,U-0227,1040,"Karnataka State Law University, Hubli(Id: U-0227)",State Public University,Private Aided
C-58428,NULL,Affiliated College,11341,ARUNDHATI LAW COLLEGE SURAPUR (Id: C-58428),3,Private Seat in Private College,3,635,YADGIR,NULL,Karnataka,5587,Shorapur,U-0227,1040,"Karnataka State Law University, Hubli(Id: U-0227)",State Public University,Private Un-Aide
C-9779,NULL,Affiliated College,11342,"Arunodaya Institute of Legal Studies, Bangalore(Id: C-9779)",3,Private Seat in Private College,3,525,BENGALURU URBAN,NULL,Karnataka,5543,Bengaluru South,U-0227,1040,"Karnataka State Law University, Hubli(Id: U-0227)",State Public University,Private Un-Aide
C-9832,NULL,Affiliated College,11343,"Bangalore Institute of Legal Studies, Bangalore(Id: C-9832)",3,Private Seat in Private College,3,525,BENGALURU URBAN,NULL,Karnataka,5543,Bengaluru South,U-0227,1040,"Karnataka State Law University, Hubli(Id: U-0227)",State Public University,Private Un-Aide
C-9783,NULL,Affiliated College,11344,"Basavashree College of Law, Kolar(Id: C-9783)",3,Private Seat in Private College,3,542,Kolar,NULL,Karnataka,5591,Kolar,U-0227,1040,"Karnataka State Law University, Hubli(Id: U-0227)",State Public University,Private Un-Aide
C-56691,NULL,Affiliated College,11345,"Bengaluru Law College, Bengaluru(Id: C-56691)",3,Private Seat in Private College,3,525,BENGALURU URBAN,NULL,Karnataka,5542,Bengaluru North,U-0227,1040,"Karnataka State Law University, Hubli(Id: U-0227)",State Public University,Private Un-Aide
C-9816,NULL,Affiliated College,11346,"B.E.S. College of Law, Bangalore(Id: C-9816)",3,Private Seat in Private College,3,525,BENGALURU URBAN,NULL,Karnataka,5543,Bengaluru South,U-0227,1040,"Karnataka State Law University, Hubli(Id: U-0227)",State Public University,Private Un-Aide
C-56780,NULL,Affiliated College,11347,"BHUVAN LAW COLLEGE, BENGALURU(Id: C-56780)",3,Private Seat in Private College,3,525,BENGALURU URBAN,NULL,Karnataka,7103,YALAHANKA,U-0227,1040,"Karnataka State Law University, Hubli(Id: U-0227)",State Public University,Private Un-Aide
C-9790,NULL,Affiliated College,11348,"Bishop Cotton Women Christian Law College, Bangalore(Id: C-9790)",3,Private Seat in Private College,3,525,BENGALURU URBAN,NULL,Karnataka,5542,Bengaluru North,U-0227,1040,"Karnataka State Law University, Hubli(Id: U-0227)",State Public University,Private Un-Aide
C-9802,NULL,Affiliated College,11349,"B.L.D.E. Association Law College, Jamkhandi.(Id: C-9802)",3,Private Seat in Private College,3,524,BAGALKOTE,NULL,Karnataka,5443,Jamkhandi,U-0227,1040,"Karnataka State Law University, Hubli(Id: U-0227)",State Public University,Private Un-Aide
C-9849,NULL,Affiliated College,11350,"B.M.S. College of Law, Bangalore(Id: C-9849)",3,Private Seat in Private College,3,525,BENGALURU URBAN,NULL,Karnataka,5543,Bengaluru South,U-0227,1040,"Karnataka State Law University, Hubli(Id: U-0227)",State Public University,Private Un-Aide
C-9847,NULL,Affiliated College,11351,"B.V. Bellad Law College, Belgaum.(Id: C-9847)",2,Private Seat in Aided College,17,527,Belagavi,NULL,Karnataka,5438,BELAGAVI,U-0227,1040,"Karnataka State Law University, Hubli(Id: U-0227)",State Public University,Private Aided
C-9801,NULL,Affiliated College,11352,"C.B.R. Law College, Shimoga(Id: C-9801)",2,Private Seat in Aided College,17,547,Shivamogga,NULL,Karnataka,5520,Shivamogga,U-0227,1040,"Karnataka State Law University, Hubli(Id: U-0227)",State Public University,Private Aided
